id,name,core_skills,secondary_skills,soft_skills,years_of_experience,potential_roles,skill_summary
232204,Awin5 Tst0,"Java (Beginner), Python (Beginner), HTML (Beginner)",,,0.0,"Software Engineer, Backend Developer, Web Developer","The candidate demonstrates basic knowledge of Java, Python, and HTML, indicating foundational programming skills suitable for entry-level roles in software development or web development. Due to the absence of detailed experience, qualifications, or demonstrated soft skills, the profile suggests a beginner-level professional likely seeking opportunities to develop practical expertise in coding and software projects."
232385,Awg3 Testg3,"Java (Beginner), Python (Beginner), HTML (Beginner)",,,0.0,"Junior Software Engineer, Entry-level Developer, Trainee Programmer","The candidate demonstrates basic knowledge of Java, Python, and HTML, indicating foundational programming skills. Due to the lack of detailed experience, qualifications, or demonstrated soft skills, the profile suggests an entry-level or junior role in software development or programming. Further information would be needed to assess proficiency and suitability for more advanced positions."
232429,Awg4 Testg2,"Java (Beginner), Python (Beginner), HTML (Beginner)",,,0.0,"Junior Software Engineer, Entry-level Backend Developer, Entry-level Web Developer","The candidate demonstrates basic knowledge of Java, Python, and HTML, indicating foundational programming skills suitable for entry-level software development roles. There is no explicit evidence of secondary or soft skills, nor details on experience or qualifications, suggesting a profile at the early stage of a technical career."
232936,HN Siddiqui,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic qualifications in computer science. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical base suitable for software development and data-related roles. While soft skills are not explicitly evidenced, the candidate’s academic progression and diverse technical skill set suggest a capacity for learning and adapting in technical environments."
234129,Kunal Rajesh Khelkar,"ServiceNow (Competent), Active Directory (Competent), Microsoft Entra ID (Azure Active Directory) (Competent), Windows Server (Advanced Beginner), SQL (Advanced Beginner)","VPN Connectivity (Advanced Beginner), Network Access (Advanced Beginner), Remote Desktop Tools (RDP, GlobalProtect) (Advanced Beginner), Sailpoint (Identity Governance) (Beginner), SAP Validation (Beginner), MS Excel (Advanced Beginner)","Problem Solving (Competent), Communication (Competent), Teamwork (Competent)",1.0,"Cloud Technical Support Analyst, Service Desk Analyst, System Administrator (entry-level), Technical Support Engineer","The candidate demonstrates competent skills in ServiceNow, Active Directory, and Microsoft Entra ID with practical experience in service desk operations and cloud support. They show advanced beginner proficiency in Windows Server and SQL, alongside foundational knowledge of VPN, network access, and identity governance tools. The profile reflects strong problem-solving, communication, and teamwork abilities evidenced by ticket management improvements and collaboration with infrastructure teams. The candidate is actively upskilling in Microsoft Azure and Microsoft 365 administration, indicating a commitment to growth in cloud and system administration roles. Their educational background in data science and engineering complements their technical support expertise."
234183,Technical Skills,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic qualifications in computer science. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical base suitable for software development and data-related roles. While primarily at an advanced beginner level, the candidate appears capable of handling routine tasks and contributing to projects under guidance. No explicit soft skills are evidenced in the profile."
230631,Saudi Aw,"Java (Beginner), Python (Beginner), HTML (Beginner)",,,0.0,"Software Engineer, Backend Developer, Web Developer","The candidate demonstrates basic knowledge of Java, Python, and HTML, indicating foundational programming skills suitable for entry-level software development roles. There is no explicit evidence of secondary or soft skills, nor details on experience or qualifications, suggesting early career stage or limited information provided. Potential roles include software engineering and web development positions that require fundamental coding abilities."
234600,Technical Skills,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic projects and coursework. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Express.js, alongside experience with databases like MySQL and MongoDB. Familiarity with tools like Git, Docker, and AWS suggests a developing understanding of modern development and deployment practices. The candidate’s educational background in computer science underpins their technical skills, positioning them well for roles in software engineering and full stack development."
234593,Technical Skills,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic qualifications in computer science. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical base suitable for software development and data-related roles. While primarily at an advanced beginner level, the candidate shows capability to work independently on routine tasks and projects. No explicit soft skills are evidenced in the profile."
234927,AKASH Kumar,"Python (Competent), Java (Competent), C++ (Competent), JavaScript (Competent), SQL (Competent)","React.js (Competent), Node.js (Competent), Express.js (Competent), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Competent), Pandas (Competent), Power BI (Beginner), Git (Competent), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Competent), MongoDB (Beginner), Firebase (Beginner), Rest API (Competent), HTML (Competent), CSS (Competent), Data Structures (Competent), Algorithms (Competent)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates competent proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by solid knowledge of data structures and algorithms. They have practical experience with popular frameworks and libraries such as React.js, Node.js, and Express.js, alongside exposure to Django and Next.js. Their secondary skills include data analysis tools like NumPy, Pandas, and Power BI, as well as familiarity with cloud and container technologies such as AWS and Docker. The candidate holds a Master’s and Bachelor’s degree in computer science-related fields and appears well-suited for roles in software engineering, full stack development, backend development, and data analysis. No explicit soft skills are evidenced in the profile."
234924,NATASHA SINGH,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic projects and coursework. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical base suitable for software development and data-related roles. The candidate is currently pursuing a master's degree, which suggests ongoing skill development. While soft skills are not explicitly evidenced, the profile reflects a solid technical foundation and readiness for roles such as Software Engineer, Full Stack Developer, Backend Developer, or Data Analyst."
234949,Sumit Kumar Singh,"Python (Competent), Java (Competent), C++ (Competent), JavaScript (Competent), SQL (Competent)","React.js (Competent), Node.js (Competent), Express.js (Competent), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Competent), Pandas (Competent), Power BI (Beginner), Git (Competent), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Competent), MongoDB (Beginner), Firebase (Beginner), Rest API (Competent), Data Structures (Competent), Algorithms (Competent), HTML (Competent), CSS (Competent), TypeScript (Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates competent proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by solid knowledge of data structures and algorithms. They have practical experience with popular frameworks such as React.js, Node.js, and Express.js, and exposure to Django and Next.js. Their toolset includes Git, Docker, Postman, and AWS, indicating familiarity with development and deployment environments. The candidate holds a Master’s and Bachelor’s degree in computer science-related fields, suggesting a strong academic foundation. While soft skills are not explicitly evidenced, the technical breadth and academic background position them well for roles in software engineering, full stack development, backend development, or data analysis."
234931,Key Skills,"Python (Competent), Java (Competent), C++ (Competent), JavaScript (Competent), SQL (Competent)","React.js (Competent), Node.js (Competent), Express.js (Competent), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Competent), Pandas (Competent), Power BI (Beginner), Git (Competent), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Competent), MongoDB (Beginner), Firebase (Beginner), Rest API (Competent), Data Structures (Competent), Algorithms (Competent), HTML (Competent), CSS (Competent), TypeScript (Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates competent proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by solid knowledge of data structures and algorithms. They have practical experience with popular frameworks such as React.js, Node.js, and Express.js, and exposure to Django and Next.js. Their toolset includes Git, Docker, Postman, and AWS, indicating familiarity with modern development and deployment practices. The candidate holds a Master’s degree in Computer Science and a Bachelor’s degree in Science, suggesting a strong academic foundation. Overall, the profile suggests readiness for roles in software engineering, full stack, backend development, or data analysis, with room to grow in advanced frameworks and cloud technologies."
234979,RIYA DUBEY,"Python (Competent), Java (Competent), C++ (Competent), JavaScript (Competent), SQL (Competent)","React.js (Competent), Node.js (Competent), Express.js (Competent), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Competent), Pandas (Competent), Power BI (Beginner), Git (Competent), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Competent), MongoDB (Beginner), Firebase (Beginner), Rest API (Competent), HTML (Competent), CSS (Competent), Data Structures (Competent), Algorithms (Competent)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates competent proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by solid knowledge of data structures and algorithms. They have practical experience with popular frameworks and libraries such as React.js, Node.js, and Express.js, alongside exposure to Django and Next.js. Their toolset includes Git, Docker, and AWS, indicating familiarity with modern development and deployment practices. The candidate holds a Master’s and Bachelor’s degree in computer science-related fields and appears suited for roles like Software Engineer, Full Stack Developer, Backend Developer, or Data Analyst. No explicit soft skills are evidenced in the profile."
235204,Manoj Kumar,"Python (Proficient), C# (Proficient), Azure (Proficient), Microservices (Proficient), SQL Server (Proficient), API Development (Proficient)",DocuSign API (Competent),Leadership (Proficient),0.0,"Technical Lead, Solutions Architect, Software Engineer","This candidate demonstrates proficient expertise in core development technologies including Python, C#, Azure, Microservices, SQL Server, and API Development, with specific experience integrating DocuSign API. Their role as a Technical Lead highlights strong leadership capabilities in managing development teams and designing scalable system architectures. The candidate holds a B.Tech in Computer Science, supporting their technical foundation. They appear well-suited for senior technical roles such as Technical Lead, Solutions Architect, or Software Engineer, leveraging both technical and leadership skills to deliver enterprise-level applications."
235338,Technical Skills,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Advanced Beginner), Pandas (Advanced Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Advanced Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in multiple programming languages including Python, Java, C++, JavaScript, and SQL, supported by practical exposure to frameworks such as React.js, Node.js, and Django. They have experience with databases like MySQL and MongoDB and familiarity with cloud and containerization tools including AWS and Docker. Their academic background in computer science underpins their technical skills, positioning them well for roles in software development and data analysis. While soft skills are not explicitly evidenced, the candidate’s diverse technical toolkit suggests adaptability and a capacity for learning in dynamic environments."
235346,Akash Kumarsahoo,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic qualifications in computer science. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical skill set suitable for software development and data-related roles. While primarily at an advanced beginner level, the candidate appears capable of handling routine tasks and contributing to projects under guidance. No explicit soft skills are evidenced in the profile."
235371,Shaik Sharuk,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic projects and coursework. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, indicating capability in full stack development. Familiarity with tools like Git, Docker, and AWS suggests an understanding of modern development and deployment practices. The candidate holds a Master’s and Bachelor’s degree in computer science-related fields, reflecting solid theoretical knowledge. While soft skills are not explicitly evidenced, the profile suggests readiness for roles in software engineering, backend, full stack development, or data analysis with potential for growth through practical experience."
235362,Akash Kumarsahoo,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic projects and coursework. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical base suitable for software development roles. The candidate’s educational background in computer science underpins their technical skills, while their experience with data-related tools like Pandas and Power BI suggests potential in data analysis. Although soft skills are not explicitly evidenced, the candidate appears to have a solid technical foundation for entry-level to intermediate roles in software engineering and data analysis."
235354,ANJALI CHIMNANI,"Python (Advanced Beginner), Java (Advanced Beginner), C++ (Advanced Beginner), JavaScript (Advanced Beginner), SQL (Advanced Beginner)","React.js (Advanced Beginner), Node.js (Advanced Beginner), Express.js (Advanced Beginner), Next.js (Beginner), Django (Beginner), Tailwind (Beginner), Redux (Beginner), Zustand (Beginner), NumPy (Beginner), Pandas (Beginner), Power BI (Beginner), Git (Advanced Beginner), Docker (Beginner), Postman (Beginner), AWS (Beginner), MySQL (Advanced Beginner), MongoDB (Beginner), Firebase (Beginner), Rest API (Advanced Beginner)",,1.0,"Software Engineer, Full Stack Developer, Backend Developer, Data Analyst","The candidate demonstrates foundational proficiency in core programming languages including Python, Java, C++, JavaScript, and SQL, supported by academic projects and coursework. They have exposure to popular frameworks and libraries such as React.js, Node.js, and Django, alongside tools like Git, Docker, and AWS, indicating a broad technical base suitable for software development roles. The candidate’s educational background in computer science and application provides a solid theoretical foundation. While soft skills are not explicitly evidenced, the candidate appears to have a well-rounded technical skill set appropriate for entry-level to intermediate roles in software engineering, full stack development, backend development, and data analysis."
235608,Rohit Tiwari,"Python (Advanced Beginner), SQL (Advanced Beginner), Azure DevOps (Beginner)","CI/CD Pipelines (Beginner), Cloud-based Deployment (Beginner)","Teamwork (Competent), Time Management (Competent), Adaptability (Competent)",0.0,"Software Engineer (Entry Level), DevOps Engineer (Internship Level), Cloud Engineer (Internship Level)","This candidate demonstrates foundational skills in Python programming and SQL database management, complemented by beginner-level experience with Azure DevOps and cloud-based CI/CD pipelines gained during a recent internship. They show competent soft skills in teamwork, time management, and adaptability, supported by academic learning and practical exposure. The candidate holds a B.Tech degree in Computer Science and a Python programming certification, positioning them well for entry-level roles in software development and cloud engineering environments."
235944,Thushandhan. V,"Data Analysis (Advanced Beginner), Strategy Implementation (Advanced Beginner), Business Management (Advanced Beginner)","Time Management (Competent), Presentation Skills (Competent), Work Planning (Competent), Attention to Detail (Competent)","Communication (Competent), Leadership (Competent), Teamwork (Competent)",1.0,"Business Analyst, Junior Data Analyst, Business Management Trainee","The candidate demonstrates foundational skills in data analysis, strategy implementation, and business management, supported by a higher diploma and accounting technician certification. They show competent secondary skills in time management, presentation, work planning, and attention to detail. Evidenced soft skills include communication, leadership, and teamwork, highlighting their ability to build relationships and work collaboratively. With approximately one year of experience, the candidate appears motivated to apply their business knowledge and interpersonal skills in a challenging organizational role."
229987,Awt5 Test4,"Java (Beginner), Python (Beginner), HTML (Beginner)",,,0.0,"Software Engineer, Backend Developer, Web Developer","The candidate demonstrates basic knowledge in Java, Python, and HTML, indicating beginner-level proficiency in these core programming languages. There is no explicit information on secondary or soft skills, qualifications, or years of experience. The profile suggests potential suitability for entry-level roles such as Software Engineer, Backend Developer, or Web Developer. No career breaks are indicated."
